0,005647;0,006275;0,310264;2,340834;2,041431;0,071452;0,002795;0,003106;0,293199;1,500500
0,008237;0,013005;0,489244;2,342893;2,045613;0,141907;-0,001513;0,000226;-0,124063;-0,020943
0,008597;0,018740;0,592463;2,346618;2,053438;0,211379;-0,001104;-0,000493;-0,071594;-0,020651
0,007457;0,022824;0,651913;2,352543;2,065350;0,279881;-0,000743;-0,000818;-0,041363;-0,020363
0,005377;0,024987;0,686026;2,361185;2,081379;0,347427;-0,000465;-0,000951;-0,023943;-0,020079
0,002793;0,025194;0,705438;2,372921;2,101194;0,414030;-0,000249;-0,000969;-0,013893;-0,019799
0,000055;0,023573;0,716301;2,387922;2,124182;0,479704;-0,000077;-0,000904;-0,008080;-0,019522
-0,002559;0,020384;0,722188;2,406121;2,149523;0,544461;0,000062;-0,000776;-0,004701;-0,019250
-0,004830;0,015978;0,725192;2,427219;2,176290;0,608314;0,000170;-0,000602;-0,002724;-0,018982
-0,006600;0,010766;0,726551;2,450719;2,203520;0,671276;0,000248;-0,000399;-0,001555;-0,018717
-0,007770;0,005184;0,727006;2,475979;2,230298;0,733358;0,000297;-0,000183;-0,000855;-0,018456
-0,008297;-0,000342;0,727006;2,502272;2,255816;0,794575;0,000318;0,000028;-0,000430;-0,018198
-0,008192;-0,005423;0,726825;2,528842;2,279420;0,854937;0,000313;0,000220;-0,000171;-0,017944
-0,007511;-0,009734;0,726630;2,554968;2,300649;0,914456;0,000285;0,000381;-0,000014;-0,017694
-0,006349;-0,013029;0,726516;2,580013;2,319245;0,973144;0,000238;0,000503;0,000077;-0,017447
-0,004828;-0,015157;0,726533;2,603464;2,335159;1,031013;0,000178;0,000578;0,000124;-0,017204
-0,003086;-0,016059;0,726699;2,624960;2,348531;1,088075;0,000109;0,000607;0,000139;-0,016964
-0,001266;-0,015769;0,727004;2,644306;2,359667;1,144340;0,000039;0,000590;0,000133;-0,016727
0,000495;-0,014405;0,727427;2,661471;2,369005;1,199819;-0,000029;0,000532;0,000111;-0,016494
0,002076;-0,012149;0,727932;2,676581;2,377070;1,254524;-0,000089;0,000441;0,000078;-0,016264
0,003378;-0,009234;0,728480;2,689893;2,384431;1,308465;-0,000138;0,000326;0,000041;-0,016037
0,004331;-0,005919;0,729030;2,701770;2,391660;1,361653;-0,000173;0,000198;0,000002;-0,015813
0,004894;-0,002473;0,729543;2,712640;2,399287;1,414099;-0,000193;0,000065;-0,000035;-0,015593
0,005061;0,000848;0,729986;2,722970;2,407770;1,465813;-0,000197;-0,000061;-0,000066;-0,015375
0,004850;0,003819;0,730332;2,733219;2,417465;1,516805;-0,000187;-0,000173;-0,000091;-0,015161
0,004309;0,006257;0,730566;2,743817;2,428612;1,567084;-0,000164;-0,000264;-0,000107;-0,014949
0,003503;0,008031;0,730678;2,755128;2,441323;1,616662;-0,000131;-0,000329;-0,000114;-0,014741
0,002512;0,009068;0,730670;2,767436;2,455589;1,665548;-0,000092;-0,000365;-0,000113;-0,014535
0,001422;0,009354;0,730553;2,780926;2,471285;1,713751;-0,000049;-0,000372;-0,000104;-0,014332
0,000319;0,008929;0,730343;2,795682;2,488194;1,761281;-0,000006;-0,000352;-0,000088;-0,014132
-0,000716;0,007881;0,730062;2,811689;2,506026;1,808148;0,000033;-0,000309;-0,000067;-0,013935
-0,001615;0,006333;0,729736;2,828840;2,524444;1,854361;0,000067;-0,000247;-0,000043;-0,013741
-0,002324;0,004437;0,729392;2,846949;2,543097;1,899928;0,000094;-0,000173;-0,000018;-0,013549
-0,002808;0,002355;0,729055;2,865777;2,561641;1,944859;0,000111;-0,000092;0,000007;-0,013360
